Name,Code,Category,Price,52 Weeks low,52 Weeks hi,Volume,EPS,DPS,NTA,PE,DY,ROE,PTBV,Mcap,Book value
DRBHCOM [s],1619,"Consumer Products & Services, Main Market",1.72,0.98,3,52778,9.61,2,3.52,17.91,1.16,2.73,0.49,3325.17,0.424528302
PJBUMI [s],7163,"Industrial Products & Services, Main Market",0.135,0.105,0.31,0,0.71,,0.27,18.92,,2.64,0.5,11.07,1.462264151
SDRED [s],2224,"Property, Main Market",0.545,0.325,0.695,127,5.29,21.5,2.009,10.31,39.45,2.63,0.27,232.24,0.528301887
KPPROP [s],7077,"Property, Main Market",0.505,0.4,1.1,596,4.14,,1.588,12.21,,2.6,0.32,101.07,0.150943396
IJM [s],3336,"Construction, Main Market",1.8,1.15,2.51,4479,6.89,3,2.65,26.14,1.67,2.6,0.68,6550.72,0.160377358
TSH [s],9059,"Plantation, Main Market",0.83,0.56,1.59,15874,2.37,1,0.917,35.03,1.2,2.59,0.91,1146.9,0.925925926
PRLEXUS [s],8966,"Consumer Products & Services, Main Market",0.55,0.305,1.1,4002,3.38,0.3,1.31,16.29,0.55,2.58,0.42,99.54,0.666666667
IHH [s],5225,"Health Care, Main Market",5.36,4.55,5.95,11917,6.28,4,2.55,85.31,0.75,2.46,2.1,47045.9,1.259259259
BDB [s],6173,"Property, Main Market",0.265,0.19,0.43,30,3.73,0,1.53,7.11,0,2.44,0.17,80.52,1.590909091
VELESTO [s],5243,"Energy, Main Market",0.15,0.09,0.41,754476,0.87,,0.362,17.17,,2.41,0.41,1232.34,6.6
KPSCB [s],9121,"Industrial Products & Services, Main Market",0.35,0.265,0.53,0,4.39,,1.83,7.97,,2.4,0.19,51.74,3.127272727
UEMS [s],5148,"Property, Main Market",0.425,0.275,0.85,28895,3.79,0,1.58,11.23,0,2.4,0.27,1928.41,3.909090909
ATRIUM,5130,"Real Estate Investment Trusts, Main Market",1.03,0.805,1.182,208,3.01,5.18,1.282,34.17,5.03,2.35,0.8,210.76,0.436363636
SEAL [s],4286,"Property, Main Market",0.295,0.12,0.36,5950,2.87,,1.22,10.29,,2.35,0.24,71.67,1.318181818
CMMT,5180,"Real Estate Investment Trusts, Main Market",0.81,0.735,1.11,9435,2.89,6.25,1.237,28.03,7.72,2.34,0.65,1664.86,2.454545455
MENANG [s],1694,"Property, Main Market",0.34,0.2,0.385,892,1.56,,0.668,21.83,,2.33,0.51,163.47,1.446428571
E&O [s],3417,"Property, Main Market",0.405,0.3,0.82,10498,3.18,3,1.38,12.74,7.41,2.3,0.29,590.06,2.321428571
MQREIT,5123,"Real Estate Investment Trusts, Main Market",0.76,0.5,1.1,13200,2.75,6.8,1.202,27.61,8.95,2.29,0.63,814.56,1.946428571
AYER [s],2305,"Property, Main Market",5.36,3.8,6.21,42,15.98,5,6.99,33.54,0.93,2.29,0.77,401.21,4.107142857
PBA [s],5041,"Utilities, Main Market",0.86,0.725,1.16,160,4.39,3.5,2.06,19.59,4.07,2.13,0.42,284.89,0.267857143
PWF [s],7134,"Consumer Products & Services, Main Market",0.49,0.35,0.87,0,3.77,2,1.78,13,4.08,2.12,0.28,85.23,0.892857143
PETRONM [s],3042,"Energy, Main Market",4.02,2.49,6.27,706,13.3,12,6.305,30.22,2.99,2.11,0.64,1085.4,2.894736842
AJIYA [s],7609,"Industrial Products & Services, Main Market",0.4,0.2,0.505,842,2.51,0,1.19,15.94,0,2.11,0.34,121.83,3.298245614
FIMACOR [s],3107,"Industrial Products & Services, Main Market",1.46,1.01,1.96,278,4.82,12.5,2.29,30.29,8.56,2.1,0.64,358.08,0.48245614
APM [s],5015,"Industrial Products & Services, Main Market",1.72,1.5,2.8,650,13.51,10,6.51,12.73,5.81,2.08,0.26,346.75,3.333333333
RAPID,7765,"Property, Main Market",5.84,5.4,6.17,1854,2.8,0,1.37,208.44,0,2.05,4.26,624.28,6.228070175
TASCO,5140,"Transportation & Logistics, Main Market",0.935,0.65,1.33,0,4.44,2,2.18,21.03,2.14,2.04,0.43,187,0.903508772
NHFATT [s],7060,"Consumer Products & Services, Main Market",2.01,1.85,2.86,0,11.3,10,5.55,17.79,4.98,2.04,0.36,166.17,1.964912281
ENRA [s],8613,"Property, Main Market",0.7,0.68,1.46,7586,1.82,1.25,0.9,38.45,1.79,2.02,0.78,95.35,0.359649123
IMASPRO [s],7222,"Industrial Products & Services, Main Market",2.15,2,2.39,5614,3.24,3.5,1.61,66.28,1.63,2.01,1.34,172,0.105263158
APEX,5088,"Financial Services, Main Market",0.97,0.615,1.13,10,3.02,2,1.5,32.12,2.06,2.01,0.65,207.16,0.201754386
LIONPSIM [s],8486,"Industrial Products & Services, Main Market",0.305,0.185,0.475,120,4.88,,2.43,6.25,,2.01,0.13,70.63,1.706896552
PLENITU [s],5075,"Property, Main Market",1.03,0.735,1.43,404,8.2,4.5,4.08,12.57,4.37,2.01,0.25,392.98,1.775862069
XDL,5156,"Consumer Products & Services, Main Market",0.06,0.055,0.175,32473,1.61,,0.8,3.73,,2.01,0.08,108.29,1.982758621
HEXTAR [s],5151,"Industrial Products & Services, Main Market",0.56,0.475,0.835,36165,0.46,4.38,0.23,121.42,7.82,2.01,2.43,459.58,1.293103448
SCGM [s],7247,"Industrial Products & Services, Main Market",1.93,0.76,2.04,23333,1.69,1.5,0.853,114.09,0.78,1.98,2.26,373.65,1.198275862
SYCAL,9717,"Construction, Main Market",0.19,0.175,0.26,1000,1.32,,0.668,14.36,,1.98,0.28,79.1,1.293103448
TWRREIT,5111,"Real Estate Investment Trusts, Main Market",0.75,0.49,0.925,4500,3.49,5.93,1.896,21.47,7.91,1.84,0.4,210.38,0.517241379
